STN,STN_NAME,LAT,LON,TYPE
90,속초,38.2509,128.5647,GROUND
93,북춘천,37.9474,127.7544,GROUND
95,철원,38.1479,127.3042,GROUND
98,동두천,37.9019,127.0607,GROUND
99,파주,37.8859,126.7665,GROUND
100,대관령,37.6771,128.7183,GROUND
101,춘천,37.9026,127.7357,GROUND
102,백령도,37.974,124.7124,GROUND
104,북강릉,37.8046,128.8554,GROUND
105,강릉,37.7515,128.891,GROUND
106,동해,37.5071,129.1243,GROUND
108,서울,37.5714,126.9658,GROUND
112,인천,37.4777,126.6249,GROUND
114,원주,37.3375,127.9466,GROUND
115,울릉도,37.4813,130.8986,GROUND
119,수원,37.2575,126.983,GROUND
121,영월,37.1813,128.4574,GROUND
127,충주,36.9705,127.9525,GROUND
129,서산,36.7766,126.4939,GROUND
130,울진,36.9918,129.4128,GROUND
131,청주,36.6392,127.4407,GROUND
133,대전,36.372,127.3721,GROUND
135,추풍령,36.2203,127.9946,GROUND
136,안동,36.5729,128.7073,GROUND
137,상주,36.4084,128.1574,GROUND
138,포항,36.032,129.38,GROUND
140,군산,36.0053,126.7614,GROUND
143,대구,35.878,128.653,GROUND
146,전주,35.8409,127.1172,GROUND
152,울산,35.5824,129.3347,GROUND
155,창원,35.1702,128.5728,GROUND
156,광주,35.1729,126.8916,GROUND
159,부산,35.1047,129.032,GROUND
162,통영,34.8454,128.4356,GROUND
165,목포,34.8173,126.3815,GROUND
168,여수,34.7393,127.7406,GROUND
169,흑산도,34.6872,125.4511,GROUND
170,완도,34.3959,126.7018,GROUND
172,고창,35.3482,126.599,GROUND
174,순천,35.0204,127.3694,GROUND
177,홍성,36.6576,126.6877,GROUND
181,서청주,36.6399,127.3846,GROUND
184,제주,33.5141,126.5297,GROUND
185,고산,33.2938,126.1628,GROUND
188,성산,33.3868,126.8802,GROUND
189,서귀포,33.2462,126.5653,GROUND
192,진주,35.1638,128.04,GROUND
201,강화,37.7074,126.4463,GROUND
202,양평,37.4886,127.4945,GROUND
203,이천,37.264,127.4842,GROUND
211,인제,38.0599,128.1681,GROUND
212,홍천,37.6836,127.8804,GROUND
216,태백,37.1704,128.9893,GROUND
217,정선군,37.3807,128.6731,GROUND
221,제천,37.1593,128.1943,GROUND
226,보은,36.4876,127.7342,GROUND
232,천안,36.7622,127.2928,GROUND
235,보령,36.3272,126.5574,GROUND
236,부여,36.2724,126.9208,GROUND
238,금산,36.1056,127.4818,GROUND
239,세종,36.4852,127.2444,GROUND
243,부안,35.7296,126.7166,GROUND
244,임실,35.612,127.2856,GROUND
245,정읍,35.5634,126.839,GROUND
247,남원,35.4213,127.3965,GROUND
248,장수,35.657,127.5203,GROUND
251,고창군,35.4266,126.697,GROUND
252,영광군,35.2837,126.4778,GROUND
253,김해시,35.2298,128.8908,GROUND
254,순창군,35.3713,127.1286,GROUND
255,북창원,35.2266,128.6726,GROUND
257,양산시,35.3074,129.0201,GROUND
258,보성군,34.7634,127.2123,GROUND
259,강진군,34.6446,126.7841,GROUND
260,장흥,34.6889,126.9195,GROUND
261,해남,34.5538,126.5691,GROUND
262,고흥,34.6183,127.2757,GROUND
263,의령군,35.3226,128.2881,GROUND
264,함양군,35.5114,127.7454,GROUND
266,광양시,34.9434,127.6914,GROUND
268,진도군,34.473,126.2585,GROUND
271,봉화,36.9436,128.9145,GROUND
272,영주,36.8718,128.5169,GROUND
273,문경,36.6273,128.1488,GROUND
276,청송군,36.4351,129.0401,GROUND
277,영덕,36.5334,129.4093,GROUND
278,의성,36.3561,128.6886,GROUND
279,구미,36.1306,128.3206,GROUND
281,영천,35.9774,128.9514,GROUND
283,경주시,35.8174,129.2009,GROUND
284,거창,35.6674,127.9099,GROUND
285,합천,35.5651,128.1699,GROUND
288,밀양,35.4915,128.7441,GROUND
289,산청,35.413,127.8791,GROUND
294,거제,34.8882,128.6046,GROUND
295,남해,34.8166,127.9264,GROUND
296,북부산,35.2178,128.9602,GROUND
21229,울릉도,37.4554,131.1144,SEA
22101,덕적도,37.2361,126.0188,SEA
22102,칠발도,34.7933,125.7769,SEA
22103,거문도,34.0014,127.5014,SEA
22104,거제도,34.7667,128.9,SEA
22105,동해,37.5442,130,SEA
22106,포항,36.35,129.7833,SEA
22107,마라도,33.0833,126.0333,SEA
22108,외연도 ,36.25,125.75,SEA
22183,신안,34.7333,126.2417,SEA
22184,추자도,33.7936,126.1411,SEA
22185,인천,37.0917,125.4289,SEA
22186,부안,35.6586,125.8139,SEA
22187,서귀포,33.1281,127.0228,SEA
22188,통영,34.3917,128.225,SEA
22189,울산,35.3453,129.8414,SEA
22190,울진,36.9069,129.8744,SEA
22191,서해170,36.1333,124.0569,SEA
22192,서해206,34,123.2625,SEA
22193,서해143,37.5,124.0167,SEA
22297,가거도,34.0275,125.2147,SEA
22298,홍도,34.7467,125.2456,SEA
22299,서해190,35,124.13,SEA
22300,남해239,32.83,124.73,SEA
22301,남해465,31.6667,126.4,SEA
22302,동해78,36.9667,130.5167,SEA
22303,풍도,37.1583,126.41,SEA
22304,남해244,32.7222,127.2722,SEA
22305,동해57,38.3667,129.6,SEA
22306,서해151,37.05,124.6167,SEA
22307,서해163,36.75,125.6083,SEA
22308,서해192,35.2833,125.15,SEA
22309,남해111,33.775,128.375,SEA
22310,고성,38.3172,128.6392,SEA
22311,삼척,37.4639,129.3181,SEA
22446,내파수도,36.4514,126.24,SEA
22485,소매물도,34.6214,128.538,SEA
22489,대치마도,35.0175,126.0319,SEA
22493,자은,34.9192,125.8681,SEA
22510,위도동부,35.643,126.3586,SEA
22512,지심도,34.8278,128.775,SEA
22513,이수도,34.9717,128.7583,SEA
22514,구엄,33.521,126.3749,SEA
22515,위미,33.2237,126.7112,SEA
22520,강릉,37.7983,129.0608,SEA
22522,연평도,37.6194,125.6483,SEA
22523,죽변,37.1028,129.4594,SEA
